---- PEOPLE ----
('Xfhfagyklvfzs', 'An', 'CT', 'Rochester'),
('Zul', 'Hpztg', 'MT', 'Augusta-Richmond County'),
('Jfkpdib', 'Fmm', 'VA', 'Grand Rapids'),
('Ujkkmkykzdru', 'Thqrjqqap', 'NH', 'Henderson'),
('Qbnepuabyn', 'Filzlcoo', 'LA', 'Phoenix'),
('Bcfbpmiahr', 'Nkikpvxz', 'PA', 'Las Vegas'),
('Uz', 'Hjiz', 'TN', 'Long Beach'),
('Wgnxawmrfcmjo', 'Cyeqq', 'TN', 'Charlotte'),
('Qyzsglsa', 'Toqlrwe', 'GA', 'Chattanooga'),
('Mpfdbyfjyhsm', 'Zhuzf', 'CT', 'Arlington'),
('Verssslmymzn', 'Jh', 'NH', 'Laredo'),
('Iulchqdhhww', 'Wrxpwylwfd', 'CA', 'Tampa'),
('Ghtkrtos', 'Nnftvnclzwuy', 'NY', 'Vancouver'),
('Lxsfbvk', 'Vyxtllm', 'AR', 'Dallas'),
('Zdb', 'Jmyoce', 'SD', 'North Las Vegas'),
('Diazmlbz', 'Chrelvk', 'IL', 'Little Rock'),
('Cepvuibnkkam', 'Gmywzz', 'NC', 'Virginia Beach'),
('Azjoedxgj', 'Yvc', 'NC', 'Jacksonville'),
('Uhpalwz', 'Tnpsv', 'WY', 'San Bernardino'),
('Livseuavhajn', 'Tazrjgbpipdgm', 'UT', 'North Las Vegas'),
('Zruhenh', 'Cpuujaklxxci', 'DE', 'Las Vegas'),
('Uxfzttzz', 'Yo', 'PW', 'Buffalo'),
('Ogigtbmnez', 'Lpfevhc', 'ME', 'Grand Rapids'),
('Nwxy', 'Cu', 'AR', 'Las Vegas'),
('Ufps', 'Img', 'KY', 'Lincoln'),
('Bepduzbfm', 'Gvnqqdurhcmp', 'OR', 'Baltimore'),
('Qdaggnrkoc', 'Vrco', 'WY', 'Columbus'),
('Ndpmdaom', 'Ajcl', 'DC', 'St. Louis'),
('Mpzk', 'Sosjlanz', 'MS', 'Gilbert'),
('Grcsvlifq', 'Ytegttxbdtvqp', 'SD', 'Henderson'),
('Wtjc', 'Kcsxhgxu', 'VA', 'Richmond'),
('Yu', 'Ozbzaqzqs', 'MN', 'North Las Vegas'),
('Om', 'Pwne', 'NV', 'Mobile'),
('Ituvoijikva', 'Pnku', 'AS', 'Seattle'),
('Udkguzvmll', 'Hriv', 'NE', 'Grand Prairie'),
('Chwytpg', 'Losyqrymqybzo', 'WY', 'San Diego'),
('Gembccruus', 'Ankoxgzhkhj', 'NM', 'Newark'),
('Uaoyqlhvhodr', 'Bvhw', 'AS', 'Fremont'),
('Nts', 'Ocz', 'PR', 'Hialeah'),
('Gdnrvxrunrag', 'Vqum', 'WA', 'Vancouver'),
('Qmkn', 'Xnvgvu', 'SD', 'El Paso'),
('Jzhnksftm', 'Erlwnosaw', 'NV', 'Jacksonville'),
('Ptwx', 'Odkkovd', 'GU', 'Miami'),
('Wgpgh', 'Wdfpikujhyzv', 'SC', 'Austin'),
('Libvpbnqxmdv', 'Tkyi', 'MA', 'San Francisco'),
('Yfwfhm', 'Qlarhdddnzooj', 'MH', 'Tallahassee'),
('Ivnxt', 'Blf', 'VI', 'Detroit'),
('Miwcki', 'Bdpjygim', 'SC', 'Fayetteville'),
('Dbon', 'Pmjeybg', 'AK', 'Worcester'),
('Zlsydvd', 'Vyqyx', 'PR', 'Glendale'),
('Jzhcmvmls', 'Poxp', 'RI', 'Fresno'),
('Fszgdweiddp', 'Qekmnkllsu', 'DC', 'Ontario'),
('Qjwjmqttuqi', 'Ysd', 'NE', 'Tulsa'),
('Amtcuxaeya', 'Ujyena', 'NV', 'Cleveland'),
('Znzgpkccrg', 'Pxw', 'CA', 'Indianapolis'),
('Kjpmisnuyt', 'Nfbygstfurgqz', 'AK', 'Reno'),
('Brlb', 'Ach', 'WV', 'Honolulu'),
('Xzii', 'Nrk', 'DC', 'Atlanta'),
('Otlpfdlpdullh', 'Awr', 'FL', 'Tulsa'),
('Ckahz', 'Xdrzruchy', 'MA', 'San Jose'),
('Svnjxt', 'Bwrqzfq', 'NY', 'Charlotte'),
('Fts', 'Zxqwlhpuno', 'KY', 'San Antonio'),
('Rfquje', 'Ehvsctwzcufx', 'GU', 'Irving'),
('Tvzwmodjhzu', 'Qrenjegca', 'DE', 'Santa Ana'),
('Uvvunldmbxb', 'Bnnmbm', 'AS', 'Phoenix'),
('Mdaantwtkpe', 'Fzsyfaqi', 'PA', 'Anaheim'),
('Bynnlbcwue', 'Mn', 'AS', 'Santa Clarita'),
('Hsjgo', 'Fsphlsxm', 'SC', 'Garden Grove'),
('Ntdk', 'Wsgbrjqant', 'NY', 'Indianapolis'),
('Ffwxnlp', 'Gp', 'MP', 'Hialeah'),
('Vopcv', 'Etnhfq', 'NY', 'Baton Rouge'),
('Cdd', 'Mkkhck', 'MA', 'Corpus Christi'),
('Tsvvy', 'Prbxmred', 'PR', 'Indianapolis'),
('Mwbnnvyz', 'Kpndpxylkiekf', 'MS', 'Albuquerque'),
('Csnhdbodnhck', 'Irdr', 'NC', 'Kansas City'),
('Tvhlkfuepvusq', 'Gbegmh', 'SD', 'Oceanside'),
('Awagdzjoarv', 'Pddhmy', 'FL', 'Ontario'),
('Xlhm', 'Jfxrrrzo', 'AL', 'Newark'),
('Uscnylaq', 'Tfr', 'MA', 'Buffalo'),
('Xl', 'Kcuz', 'SD', 'Augusta-Richmond County'),
('Yxajnpprw', 'Walyfzen', 'MT', 'Huntsville'),
('Qyljgavpul', 'Nar', 'MH', 'El Paso'),
('Mfieoeg', 'Igjdkdgfhhd', 'PR', 'Moreno Valley'),
('Utgosig', 'Lbarukyk', 'UT', 'Fontana'),
('Buz', 'Ajjjltfpb', 'MT', 'New York'),
('Xocpd', 'Iopdfaabjtq', 'PW', 'Modesto'),
('Wldz', 'Iqdcgtwyuwdq', 'MI', 'Portland'),
('Lph', 'Gitztlnppoet', 'NJ', 'Aurora'),
('Ucqkjcyr', 'Ybldhrzpilthl', 'ME', 'Long Beach'),
('Dcowguult', 'Wm', 'AZ', 'Stockton'),
('Pdrdetd', 'Qdz', 'WI', 'Columbus'),
('Vhngkpkzkvvms', 'Guapm', 'MP', 'Yonkers'),
('Iovpanfgkgs', 'Txiivatl', 'WI', 'Raleigh'),
('Fssfkuxvelspw', 'Ttkqmcl', 'NE', 'Augusta-Richmond County'),
('Fh', 'Itxarqgbsgg', 'IA', 'Raleigh'),
('Keigutol', 'Irddcwy', 'AL', 'Fremont'),
('Bjdpnfng', 'Yzxeaduodvdsu', 'NC', 'Indianapolis'),
('Vv', 'Yofwin', 'NJ', 'Jersey City'),
('Kixhrqzokd', 'Zggklucz', 'MO', 'Little Rock'),
('Ruklmhmon', 'Qbxgglk', 'VA', 'Anchorage'),
('Mscxbu', 'Isjpgdcocuq', 'OK', 'Fort Wayne'),
('Khvkhnw', 'Kd', 'MN', 'Irvine'),
('Xbuc', 'Tyojcwkqwx', 'MT', 'Oxnard'),
('Jjzmqnixo', 'Vb', 'DE', 'Huntington Beach'),
('Hotsjuqjhfp', 'Vzjiwfmfdqid', 'IL', 'Santa Ana'),
('Bc', 'Nmvmfdoblwxhv', 'VT', 'Corpus Christi'),
('Eud', 'Ltsldsbola', 'IA', 'Austin'),
('Hx', 'Irankcsrnws', 'NY', 'Chicago'),
('Phbujsfkot', 'Eqljksp', 'UT', 'Plano'),
('Iffmcrg', 'Owwe', 'KS', 'Austin'),
('Mcqs', 'Knsgm', 'NJ', 'Grand Rapids'),
('Dfkzsypysx', 'Wnylceaztpssl', 'AS', 'Wichita'),
('Ksslaztvp', 'Uux', 'OH', 'Garden Grove'),
('Ujmwwaxo', 'Escqxea', 'ID', 'Fontana'),
('Lvnvrbfkmp', 'Rdnqvuwsiisq', 'DC', 'Jacksonville'),
('Hfv', 'Msbhqi', 'PR', 'Birmingham'),
('Wjygfyzpuat', 'Waz', 'MA', 'Grand Prairie'),
('Akkatezzjrfa', 'Jvkv', 'ID', 'Augusta-Richmond County'),
('Gsvynbktofxik', 'Pdieqps', 'NC', 'Little Rock'),
('Sti', 'Sr', 'IA', 'Des Moines'),
('Pisfhyieialai', 'Fidspgzmwdsx', 'MI', 'Cleveland'),
('Nuxsogiw', 'Eltco', 'CT', 'Irvine'),
('Jap', 'Wazjesrhmvgep', 'TN', 'Oxnard'),
('Xfmvdydxhgclf', 'Npkcmlvxfwnda', 'AL', 'Scottsdale'),
('Rqbvewyql', 'Xkedqes', 'ID', 'Omaha'),
('Pvmcgdf', 'Qurzdrteshwq', 'IL', 'Chicago'),
('Lgvek', 'Gilhvi', 'MD', 'Louisville/Jefferson County'),
('Uzolqywbgb', 'Vkyjdm', 'WV', 'Fresno'),
('Vzcutzq', 'Baaoxtbvl', 'NE', 'St. Petersburg'),
('Srfasjlmoins', 'Kyvamfuyz', 'IL', 'Overland Park'),
('Lvxvm', 'Qoovjhawrg', 'VI', 'Tucson'),
('Hxzuuciatma', 'Fno', 'KY', 'Gilbert'),
('Ydrodbd', 'Bi', 'AK', 'St. Petersburg'),
('Xlo', 'Oln', 'TX', 'Oceanside'),
('Itrcjkajchl', 'Zszzpq', 'NE', 'Fayetteville'),
('Jnomt', 'Xvbqvy', 'NH', 'Garland'),
('Viptjly', 'Coepvcuvsj', 'MH', 'Dallas'),
('Fchmksmglzu', 'Dtpj', 'CA', 'Grand Rapids'),
('Ppffhcazepc', 'Qaaqbf', 'DC', 'Baton Rouge'),
('Cnfoaavrx', 'Mbime', 'IA', 'Providence'),
('Uzuvnfk', 'Milqvh', 'UT', 'Little Rock'),
('Sforthz', 'Laoiky', 'TN', 'Scottsdale'),
('Nirfjw', 'Khvvdzbb', 'DE', 'Virginia Beach'),
('Qi', 'Qzybqisv', 'MO', 'Chattanooga'),
('Qt', 'Fkgdtmbsoghj', 'NC', 'Irvine'),
('Oxxxsdkvgdrsg', 'Sxsnpqlemnl', 'WA', 'El Paso'),
('Gyoxzzt', 'Snktslopanvjy', 'NV', 'Louisville/Jefferson County'),
('Mhyqfbolhn', 'Dwak', 'TX', 'Henderson'),
('Liurbnum', 'Lwqcjxve', 'GA', 'Minneapolis'),
('Kcxaouugjs', 'Ahuhd', 'AS', 'Anchorage'),
('Kknx', 'Bbrijwziddppv', 'NH', 'Fort Lauderdale'),
('Pzipkuywg', 'Afb', 'PR', 'El Paso'),
('Dxqvbokzglxr', 'Lba', 'ND', 'Cincinnati'),
('Mpj', 'Sqs', 'NJ', 'Chicago'),
('Kc', 'Jtynmmg', 'WY', 'Arlington'),
('Obfln', 'Pivafqpye', 'MI', 'Corpus Christi'),
('Fkrhkueyyy', 'Ngolcqd', 'MT', 'San Jose'),
('Nugifl', 'Swmg', 'WI', 'Virginia Beach'),
('Lhuxovqvq', 'Aaqejuo', 'RI', 'Fayetteville'),
('Ybiustvtssp', 'Rd', 'CT', 'Corpus Christi'),
('Ysdtoorug', 'Wo', 'SC', 'San Diego'),
('Wzxn', 'Ryvcslxewm', 'MH', 'Moreno Valley'),
('Nt', 'Znidkibtiluuk', 'VI', 'Sacramento'),
('Ncwxfooxwn', 'Phkkjhyzsl', 'MH', 'Overland Park'),
('Gszsenvm', 'Qzrm', 'HI', 'Colorado Springs'),
('Deuabbj', 'Aee', 'HI', 'Washington'),
('Kydtrxkppb', 'Iaunijbmcpq', 'IL', 'Seattle'),
('Sqjjlinnmgfyi', 'Cd', 'WY', 'Mobile'),
('Lihgxvcg', 'Mfki', 'FM', 'North Las Vegas'),
('Orvftoozyn', 'Bi', 'MT', 'Fremont'),
('Ozmosudxwivtx', 'Ybtqnuv', 'RI', 'Ontario'),
('Jueehoq', 'Scgzuxomrz', 'TX', 'Santa Rosa'),
('Quannjf', 'Phwvfdcze', 'KY', 'Chandler'),
('Uospfelqyowq', 'Xkqyglkjtpt', 'SD', 'Oklahoma City'),
('Febqvhd', 'Nhnr', 'AR', 'San Bernardino'),
('Vcmyvdhnkwx', 'Vnycmgoozxyz', 'WV', 'Jacksonville'),
('Amfgyefia', 'Bfnulov', 'MN', 'Modesto'),
('Lppcbptt', 'Dforu', 'OH', 'Seattle'),
('Rbixlropozn', 'Vthtvo', 'MA', 'Cincinnati'),
('Uzqyjcasaqnp', 'Fndvdaljwn', 'VT', 'Cape Coral'),
('Aexggl', 'Fygdsx', 'NE', 'Toledo'),
('Djnoibe', 'Fcp', 'MT', 'Richmond'),
('Hnjmnjgp', 'Yfudvpgihmumo', 'CT', 'Louisville/Jefferson County'),
('Mvgoiumm', 'Etqecagxb', 'MO', 'Fayetteville'),
('Bhakkqd', 'Bnamnibdgz', 'SD', 'Santa Ana'),
('Sblideaxm', 'Elhjj', 'NV', 'Madison'),
('Rayvhidvfpa', 'Xrev', 'NC', 'Milwaukee'),
('Evlxsv', 'Xosmczltouolc', 'WY', 'Greensboro'),
('Hxqifdulm', 'Mke', 'NH', 'Philadelphia'),
('Tmkpzd', 'Roseithnvlkh', 'MA', 'Birmingham'),
('Agwtvwpoow', 'Ur', 'UT', 'Phoenix'),
('Gsvmccnuwmlt', 'Nxquhupkaosvb', 'ND', 'Cape Coral'),
('Wnronjgeius', 'Nx', 'HI', 'Fort Wayne'),
('Rigklbdtqlh', 'Ml', 'KS', 'Brownsville'),
('Nfhhf', 'Xxhmnxxhsy', 'AL', 'Fayetteville'),
('Itsyzzsnnskrs', 'Qomurdssg', 'NM', 'Port St. Lucie'),
('Uxdxg', 'Pdruej', 'IN', 'Rochester'),
('Ewnjmgp', 'Nqlpc', 'MS', 'Winston-Salem'),
('Sx', 'Owgumxk', 'SD', 'Chicago'),
('Ejolhtwmbsxw', 'Itaiejwel', 'VA', 'Montgomery'),
('Eryhwayzemkhr', 'Hvxsbuqj', 'MI', 'Richmond'),
('Ptuytspwnqd', 'Fbzaphdze', 'MH', 'Nashville-Davidson'),
('Zcmsfweaqb', 'Pr', 'VI', 'Fort Wayne'),
('Tl', 'Yabozn', 'IL', 'Scottsdale'),
('Jkulwwzhhbh', 'Ruldkvmypcre', 'TX', 'North Las Vegas'),
('Qunlw', 'Mqpmccw', 'IL', 'Oakland'),
('Trnm', 'Cegpmjfyyi', 'VT', 'Orlando'),
('Dlrrblhlroy', 'Eiad', 'SC', 'Milwaukee'),
('Cprwbbxofoyhm', 'Gawiu', 'KS', 'Omaha'),
('Kg', 'Mqqgwogfsw', 'WA', 'Portland'),
('Lsnwvarc', 'Mqkmk', 'OR', 'Tulsa'),
('Dfdxwalhalsut', 'Qlwrjzakfxi', 'VA', 'Columbus'),
('Ia', 'Cmktwyrcxv', 'PA', 'Lincoln'),
('Qj', 'Ctlqsq', 'IA', 'Stockton'),
('Aasjagdtnklu', 'Qvpbhukvfqd', 'GU', 'Newport News'),
('Budzflbjueya', 'Mp', 'AK', 'Anchorage'),
('Cvuybshda', 'Byokhomaxco', 'CO', 'Memphis'),
('Sbvmtfrqolehc', 'Hesr', 'MO', 'Las Vegas'),
('Eegvkhpdyq', 'Tenup', 'CA', 'Cleveland'),
('Nnytckxdvzpj', 'Dji', 'WA', 'Toledo'),
('Lngwxh', 'Sbhmfisevgorh', 'MT', 'Huntsville'),
('Pfow', 'Puxdp', 'NY', 'El Paso'),
('Oi', 'Gnkdbkanadt', 'PR', 'Pittsburgh'),
('Slybb', 'Qfydtb', 'NY', 'San Jose'),
('Fanx', 'Lhm', 'MT', 'Garland'),
('Mmxw', 'Ynxouqnn', 'AL', 'Henderson'),
('Ysqsze', 'Xqlddwy', 'ND', 'St. Petersburg'),
('Ygvo', 'Dtob', 'OR', 'Fort Worth'),
('Jtbvr', 'Zthlbbuouhc', 'GU', 'Baton Rouge'),
('Ox', 'Ry', 'RI', 'Colorado Springs'),
('Axnv', 'Tpizpqkxlweu', 'GU', 'Wichita'),
('Docp', 'Ji', 'MN', 'Cleveland'),
('Jvqsvuymlpqm', 'Ke', 'TN', 'Newark'),
('Vbyrqkqncyimy', 'Czykukdbwcuo', 'AR', 'Henderson'),
('Go', 'Tam', 'RI', 'Bakersfield'),
('Pkcisug', 'Xrvvrgkxtncr', 'VA', 'Seattle'),
('Fhtxhyfblar', 'Sd', 'MO', 'Augusta-Richmond County'),
('Qrudvotv', 'Khrkfggcqxg', 'NE', 'Little Rock'),
('Kfa', 'Lljaqakal', 'OK', 'Reno'),
('Znlqpjgd', 'Whxppqhvmowi', 'TN', 'Phoenix'),
('Pinwpiqhyby', 'Oidipdyuayn', 'AS', 'Kansas City'),
('Odjj', 'Chwnxcek', 'OR', 'Raleigh'),
('Twgdyq', 'Ocpqd', 'OK', 'Newport News'),
('Ikamquewywqq', 'Xbgp', 'HI', 'Buffalo'),
('Kuotlded', 'Lxr', 'NC', 'Washington'),
('Rkkzowsvds', 'Eloltbose', 'HI', 'Fresno'),
('Fmpunam', 'Ywgtueeyxotpg', 'OH', 'Des Moines'),
('Nxkktchsmj', 'Jcyrz', 'CT', 'Corpus Christi'),
('Vmsjbr', 'Eilvhbll', 'WV', 'Irving'),
('Galifhski', 'Tquyhjbhih', 'OK', 'Columbus'),
('Rdjfhe', 'Rzvfckawlceza', 'AZ', 'St. Petersburg'),
('Rxzqcscn', 'Yhtvfleodegwb', 'AS', 'Riverside'),
('Jmxincpp', 'Elhbcaayl', 'MP', 'Milwaukee'),
('Fgfsojlwkxrim', 'Ipxyrg', 'AR', 'St. Paul'),
('Mreqir', 'Wnotyziqlx', 'MI', 'Irvine'),
('Nxmknpaxsd', 'Rdnglstz', 'UT', 'Charlotte'),
('Vxwt', 'Gja', 'ND', 'Louisville/Jefferson County'),
('Htevgtjimjfwu', 'Lvyswiq', 'PR', 'Hialeah'),
('Xgk', 'Ybrdxom', 'AK', 'Overland Park'),
('Dwzohkj', 'Zqqwebzso', 'SD', 'Mobile'),
('Bmt', 'Xlselqyrk', 'NJ', 'New Orleans'),
('Irbhl', 'Sjspc', 'LA', 'Birmingham'),
('Ixesvyhzqn', 'Nwrqaedtgec', 'MT', 'Amarillo'),
('Xlfufejmlejg', 'Hzjqmertafdxe', 'AK', 'Chattanooga'),
('Bpaiurptdyoj', 'Dgkj', 'MA', 'Shreveport'),
('Vgagk', 'Cxcutnt', 'VT', 'Shreveport'),
('Aaqlpul', 'Locicm', 'NY', 'Dallas'),
('Ugmyqlfe', 'Rbsm', 'NM', 'Knoxville'),
('Bacezjhfrjwbc', 'Ue', 'AR', 'Albuquerque'),
('Tpzuqwpxdob', 'Fcyygtrlmhvdq', 'AL', 'Indianapolis'),
('Xuqhsoegr', 'Sqndmgysgkeal', 'NY', 'Denver'),
('Xjowepxguf', 'Yikf', 'WV', 'Durham'),
('Mgkrl', 'Xqhqmbfzqejhy', 'FL', 'Gilbert'),
('Ttwkgtytzq', 'Ec', 'CA', 'San Jose'),
('Atfgeakopngf', 'Mgmbn', 'NY', 'Port St. Lucie'),
('Csjlbdv', 'Cggcrwphckg', 'MD', 'Colorado Springs'),
('Jthxh', 'Pbiokis', 'CO', 'Overland Park'),
('Sxcgloeofnvjp', 'Tragcumslf', 'CT', 'Wichita'),
('Cqjpyfr', 'Fjnz', 'MN', 'Jackson'),
('Pgjco', 'Daztxazvqetg', 'ND', 'Boise City'),
('Bfweoev', 'Oux', 'GU', 'Huntington Beach'),
('Nfey', 'Eprbucepmzhe', 'MA', 'St. Petersburg'),
('Xnaqqqeawx', 'Xhairokz', 'IL', 'Washington'),
('Clfapq', 'Vedkhkecxcg', 'NH', 'Chandler'),
('Cxkaz', 'Wvw', 'DE', 'Arlington'),
('Vivyzmpsgnc', 'Nctgg', 'ME', 'Minneapolis'),
('Itszmuwgawul', 'Edgsibzchlkxp', 'MH', 'Tallahassee'),
('Fodazcb', 'Xi', 'RI', 'Long Beach'),
('Jbtpmw', 'Jbkhzexxfsxb', 'PA', 'Madison'),
('Tlfe', 'Ja', 'SC', 'Fort Lauderdale'),
('Hpxgrmubwqgh', 'Kzacyaq', 'OR', 'Pittsburgh'),
('Pajcz', 'Sedaxjkxnnw', 'HI', 'El Paso'),
('Mbsxqsu', 'Uqky', 'TX', 'Knoxville'),
('Ouwf', 'Bdcgzhvkliyw', 'MD', 'Little Rock'),
('Oeej', 'Bicow', 'NV', 'Milwaukee'),
('Ykk', 'Xydrr', 'MS', 'Boise City'),
('Vrvhhjy', 'Nhsqpcritnzjc', 'NJ', 'Montgomery'),
('Zcbhxarulcgo', 'Ompvjjojsr', 'PW', 'Columbus'),
('Kfiibtranpm', 'Jwepyezcxx', 'SD', 'Lincoln'),
('Dcnmkvorkdtoc', 'Wkidesagz', 'TN', 'Milwaukee'),
('Zbfzc', 'Cysmdwylgl', 'UT', 'Los Angeles'),
('Hihwyxmy', 'Mgqmybvgmkmfx', 'VA', 'Ontario'),
('Yzrwxmsfeqhn', 'Fefzlrswx', 'RI', 'Augusta-Richmond County'),
('Xb', 'Lqd', 'MT', 'Louisville/Jefferson County'),
('Pjguesyofuql', 'Smenvowvyk', 'MD', 'Baltimore'),
('Wmdadpiyv', 'Wlukcupbyztob', 'IL', 'San Diego'),
('Jvzvjkknsld', 'Sebvughpztlch', 'TX', 'Modesto'),
('Npgybmmdqnd', 'Eunsdkbxq', 'MD', 'Las Vegas'),
('Ei', 'Uazuusbid', 'CT', 'Seattle'),
('Ypy', 'Jtjm', 'SC', 'Greensboro'),
('Onmrqzpj', 'Nzlcrikyoz', 'NE', 'Pittsburgh'),
('Lhgmyek', 'Njquztbbr', 'GU', 'Modesto'),
('Rbrz', 'Xfjessw', 'ND', 'Omaha'),
('Eaaqqvpx', 'Vtcpw', 'NY', 'Norfolk'),
('Wzcdwqylmam', 'Hodalirnhmju', 'PW', 'Las Vegas'),
('Isiewjj', 'Ho', 'AL', 'Grand Rapids'),
('Pllkhbymzweng', 'Bztsareh', 'MP', 'Tempe'),
('Gc', 'Ncvgkxlou', 'MP', 'Fort Lauderdale'),
('Kbvsewlkeeb', 'Xpid', 'DE', 'Cincinnati'),
('Mpmvs', 'Qkviu', 'MN', 'Tempe'),
('Fgty', 'Qbcqkxbaxgr', 'GU', 'Ontario'),
('Zuoav', 'Eihr', 'ND', 'Honolulu'),
('Jx', 'Jyjlbc', 'NE', 'Lincoln'),
('Qbqpmtyffezo', 'Nlbxsqkuojprh', 'FM', 'Hialeah'),
('Emxxwoxchkkxv', 'Ttczcxog', 'ID', 'Fremont'),
('Qps', 'Emywzqppgkq', 'FL', 'San Jose'),
('Ykvhim', 'Rtinseaccl', 'NM', 'Durham'),
('Jwbwixws', 'Jfkm', 'PR', 'Fort Worth'),
('Eesboxkkil', 'Lgt', 'NE', 'Honolulu'),
('Pccnacgbh', 'Nkkjws', 'GA', 'Oklahoma City'),
('Hxouacu', 'Iieynxuonv', 'MN', 'Santa Clarita'),
('Gh', 'Irgbyheqwvo', 'FM', 'Lexington-Fayette'),
('Ld', 'Manvgh', 'GA', 'Modesto'),
('Ykyjmh', 'Aiqrrp', 'WY', 'Oklahoma City'),
('Etuhejmznz', 'Jrjncdnorzo', 'AZ', 'Detroit'),
('Si', 'Oznt', 'NJ', 'Newark'),
('Ttuh', 'Vvwnlcaer', 'NH', 'Yonkers'),
('Lixwelmjni', 'Cg', 'DC', 'Chesapeake'),
('Bz', 'Udmjvr', 'IN', 'Knoxville'),
('Tsdircsvqigl', 'Xkmpbbvcql', 'CO', 'Henderson'),
('Bicv', 'Zwtsxr', 'MI', 'Chicago'),
('Yqadnnwi', 'Axkfdywcncn', 'ME', 'Brownsville'),
('Njnmbvekqfjqi', 'Aaurf', 'WI', 'Santa Rosa'),
('Tzbqfzgue', 'Ewvpz', 'ND', 'Anchorage'),
('Vtml', 'Bj', 'MA', 'Grand Rapids'),
('Gs', 'Ukdgmdzwlu', 'MS', 'Tampa'),
('Pnzuupupzsmg', 'Qsxdlqdwkuocf', 'OK', 'San Diego'),
('Gisoeeqbegyba', 'Pyquw', 'AR', 'Rancho Cucamonga'),
('Qyrzxeszkynv', 'Pdby', 'NJ', 'Arlington'),
('Qbnkqvhadasda', 'Pwwfuauxjtukk', 'AR', 'Philadelphia'),
('Qq', 'Ug', 'NV', 'Huntsville'),
('Etqudzukthblp', 'Idtpam', 'KY', 'Corpus Christi'),
('Pwuqu', 'Gflebnzyzjx', 'AL', 'San Jose'),
('Jseor', 'Reefmwy', 'MP', 'Albuquerque'),
('Rqjsvoe', 'Fqfhrt', 'WV', 'Chula Vista'),
('Catgopaiwy', 'Mkamocp', 'ND', 'Kansas City'),
('Daddysmnzzw', 'Chkw', 'WA', 'Washington'),
('Pqvur', 'Vkizjttcrkwhr', 'MN', 'St. Petersburg'),
('Krjkesbt', 'Sk', 'MI', 'Mobile'),
('Uanvrtpgchxvs', 'Bhqwhzvtiq', 'MD', 'Pittsburgh'),
